"RAISON_SOCIALE";"SIRET";"SIREN";"NUM_TVA";"ADRESSE";"CODE_POSTAL";"VILLE";"PAYS";"TELEPHONE";"EMAIL_CONTACT";"SITE_WEB";"SECTEUR_ACTIVITE";"CHIFFRE_AFFAIRES";"DATE_CREATION";"ACTIF"
"Colin & Associés SA";"40369604649132";"403696046";"FR82403696046";"149 Allée des Tilleuls";"14000";"Caen";"France";"+33 4 29 67 78 71";"contact@colin.fr";"https://www.colin.fr";"Automobile";"16688753.79";"2016-12-02";"True"
"Morin Industries GIE";"84893323941300";"848933239";"FR30848933239";"99 Rue de la République";"68100";"Mulhouse";"France";"+33 4 15 50 70 58";"contact@morin.fr";"https://www.morin.fr";"Luxe";"49421858.7";"2006-10-28";"True"
"Robert Consulting SARL";"73370141153515";"733701411";"FR33733701411";"113 Rue du Faubourg Saint-Honoré";"69001";"Lyon";"France";"+33 5 68 11 28 62";"contact@robert.fr";"https://www.robert.fr";"Industrie";"3833929.59";"2011-11-21";"True"
"Leclerc Technologies SASU";"45279461198389";"452794611";"FR16452794611";"98 Avenue Jean Jaurès";"45000";"Orléans";"France";"+33 4 79 14 89 18";"contact@leclerc.fr";"https://www.leclerc.fr";"Distribution";"31594934.74";"2012-11-21";"False"
"Rolland Group SAS";"20570249993066";"205702499";"FR08205702499";"26 Avenue de la Liberté";"17000";"La Rochelle";"France";"+33 2 98 48 13 15";"contact@rolland.fr";"https://www.rolland.fr";"Agroalimentaire";"39827558.91";"2013-02-27";"True"
"Lemaire Industries SARL";"67033549464008";"670335494";"FR69670335494";"47 Boulevard Saint-Germain";"68100";"Mulhouse";"France";"+33 2 20 88 58 89";"contact@lemaire.fr";"https://www.lemaire.fr";"Distribution";"24933595.89";"2006-06-02";"True"
"Fleury Digital SA";"37415496297404";"374154962";"FR07374154962";"120 Rue Jean Moulin";"75001";"Paris";"France";"+33 3 96 79 30 19";"contact@fleury.fr";"https://www.fleury.fr";"BTP";"47267258.18";"2013-06-02";"True"
"Picard Solutions EURL";"59052371249599";"590523712";"FR08590523712";"99 Boulevard de la Marne";"67000";"Strasbourg";"France";"+33 4 23 40 58 83";"contact@picard.fr";"https://www.picard.fr";"Automobile";"28783115.32";"2013-03-30";"True"
"Lacroix Solutions SASU";"10869512584177";"108695125";"FR02108695125";"13 Rue Pierre Curie";"86000";"Poitiers";"France";"+33 5 73 46 39 87";"contact@lacroix.fr";"https://www.lacroix.fr";"Automobile";"11028326.49";"2008-07-12";"True"
"Carlier Conseil GIE";"77457627122735";"774576271";"FR26774576271";"11 Rue Lafayette";"93100";"Montreuil";"France";"+33 4 14 84 56 26";"contact@carlier.fr";"https://www.carlier.fr";"Assurance";"45490427.83";"2014-08-27";"True"
"André Conseil SARL";"94451170380701";"944511703";"FR27944511703";"136 Boulevard Gambetta";"30000";"Nîmes";"France";"+33 3 31 42 71 47";"contact@andre.fr";"https://www.andre.fr";"Agroalimentaire";"40231203.68";"2021-01-03";"False"
"Vincent Industries GIE";"82619706998395";"826197069";"FR77826197069";"143 Rue Nationale";"63000";"Clermont-Ferrand";"France";"+33 1 60 11 43 78";"contact@vincent.fr";"https://www.vincent.fr";"Santé";"22793822.78";"2011-10-05";"True"
"Fleury Technologies SA";"82460023240647";"824600232";"FR08824600232";"7 Rue de la Gare";"87000";"Limoges";"France";"+33 5 51 88 38 92";"contact@fleury.fr";"https://www.fleury.fr";"Assurance";"31806655.73";"2020-10-28";"False"
"Roussel Group EURL";"22527983428320";"225279834";"FR65225279834";"10 Rue Lafayette";"75015";"Paris";"France";"+33 4 24 22 40 78";"contact@roussel.fr";"https://www.roussel.fr";"Industrie";"19493426.97";"2016-08-22";"True"
"Rolland Consulting EURL";"55003392486983";"550033924";"FR58550033924";"40 Rue Jean Moulin";"06600";"Antibes";"France";"+33 4 93 22 72 88";"contact@rolland.fr";"https://www.rolland.fr";"Conseil";"46958747.98";"2012-07-19";"True"
"Fontaine Digital SARL";"57748853740947";"577488537";"FR33577488537";"26 Allée des Tilleuls";"30000";"Nîmes";"France";"+33 3 79 92 55 17";"contact@fontaine.fr";"https://www.fontaine.fr";"Luxe";"13866483.9";"2005-06-24";"False"
"Brunet Industries SAS";"78902492493819";"789024924";"FR80789024924";"6 Avenue des Champs-Élysées";"54000";"Nancy";"France";"+33 3 41 26 82 36";"contact@brunet.fr";"https://www.brunet.fr";"Assurance";"41507910.08";"2009-04-17";"True"
"Martinez Conseil SA";"94679977988116";"946799779";"FR50946799779";"71 Boulevard de la Marne";"75001";"Paris";"France";"+33 2 26 79 42 32";"contact@martinez.fr";"https://www.martinez.fr";"Santé";"33086776.37";"2001-02-26";"True"
"Dumont Industries GIE";"73227601052437";"732276010";"FR75732276010";"45 Place de la Bastille";"75008";"Paris";"France";"+33 1 26 63 77 24";"contact@dumont.fr";"https://www.dumont.fr";"Assurance";"23864673.67";"2016-03-28";"True"
"Michel Consulting SASU";"33788723390623";"337887233";"FR71337887233";"134 Rue Lafayette";"75015";"Paris";"France";"+33 4 92 13 17 71";"contact@michel.fr";"https://www.michel.fr";"Luxe";"21371053.6";"2004-11-03";"True"
"Renard Technologies SAS";"44586493389730";"445864933";"FR22445864933";"17 Rue de Rivoli";"06000";"Nice";"France";"+33 3 89 91 84 80";"contact@renard.fr";"https://www.renard.fr";"Agroalimentaire";"19107129.5";"2023-10-19";"True"
"Colin Group SCI";"20649205924996";"206492059";"FR45206492059";"142 Place du Marché";"93200";"Saint-Denis";"France";"+33 2 65 67 39 62";"contact@colin.fr";"https://www.colin.fr";"Agroalimentaire";"41388219.32";"2017-11-19";"True"
"Lefebvre Group SA";"43556963097177";"435569630";"FR77435569630";"96 Rue de Rivoli";"51100";"Reims";"France";"+33 4 18 21 20 21";"contact@lefebvre.fr";"https://www.lefebvre.fr";"Conseil";"4918565.19";"2016-09-18";"True"
"Gaillard Partners SAS";"70299882083620";"702998820";"FR65702998820";"32 Rue du Commerce";"21000";"Dijon";"France";"+33 3 95 64 16 46";"contact@gaillard.fr";"https://www.gaillard.fr";"Transport";"17647144.67";"2022-10-05";"True"
"Lacroix Industries SASU";"21619860455890";"216198604";"FR86216198604";"95 Rue du Faubourg Saint-Honoré";"76000";"Rouen";"France";"+33 3 83 38 64 81";"contact@lacroix.fr";"https://www.lacroix.fr";"Médias";"1410066.19";"2011-12-30";"True"
"Blanc Solutions EURL";"46488395056009";"464883950";"FR24464883950";"47 Boulevard de la Marne";"75001";"Paris";"France";"+33 2 82 94 61 18";"contact@blanc.fr";"https://www.blanc.fr";"Industrie";"37074356.05";"2001-05-17";"True"
"Leclercq Group SARL";"55079170469460";"550791704";"FR09550791704";"41 Rue Nationale";"21000";"Dijon";"France";"+33 3 51 82 86 20";"contact@leclercq.fr";"https://www.leclercq.fr";"Banque & Finance";"7863437.18";"2002-03-26";"True"
"Blanc Group SASU";"62147528789570";"621475287";"FR28621475287";"107 Place de la Bastille";"37000";"Tours";"France";"+33 2 75 24 54 65";"contact@blanc.fr";"https://www.blanc.fr";"Santé";"14233998.86";"2021-10-29";"True"
"Nicolas Industries SAS";"52441083488554";"524410834";"FR87524410834";"2 Avenue Victor Hugo";"75020";"Paris";"France";"+33 3 37 27 42 47";"contact@nicolas.fr";"https://www.nicolas.fr";"Agroalimentaire";"6087218.75";"2022-04-24";"True"
"André Group SARL";"67185594140161";"671855941";"FR82671855941";"144 Rue Émile Zola";"66000";"Perpignan";"France";"+33 3 19 60 15 65";"contact@andre.fr";"https://www.andre.fr";"Technologie";"23041737.09";"2003-06-29";"True"
"Charpentier Partners SASU";"53424576293904";"534245762";"FR90534245762";"75 Rue du Faubourg Saint-Honoré";"13100";"Aix-en-Provence";"France";"+33 4 12 51 31 89";"contact@charpentier.fr";"https://www.charpentier.fr";"BTP";"41618093.06";"2016-03-25";"True"
"Michel Group SARL";"73229573262487";"732295732";"FR71732295732";"21 Boulevard Voltaire";"25000";"Besançon";"France";"+33 3 53 38 52 31";"contact@michel.fr";"https://www.michel.fr";"Assurance";"25573115.9";"2005-02-11";"True"
"Mercier Services GIE";"47699046694599";"476990466";"FR56476990466";"61 Rue du Faubourg Saint-Honoré";"06000";"Nice";"France";"+33 2 42 35 32 87";"contact@mercier.fr";"https://www.mercier.fr";"Industrie";"38034743.25";"2003-05-19";"True"
"Hamon Digital EURL";"59816581583889";"598165815";"FR76598165815";"149 Avenue de la Liberté";"64000";"Pau";"France";"+33 5 92 91 89 51";"contact@hamon.fr";"https://www.hamon.fr";"Agroalimentaire";"7632774.33";"2003-01-23";"True"
"Dufour Solutions SA";"73503212817362";"735032128";"FR52735032128";"130 Boulevard Haussmann";"49000";"Angers";"France";"+33 3 69 67 14 17";"contact@dufour.fr";"https://www.dufour.fr";"Automobile";"41601661.92";"2003-06-11";"True"
"Laurent Partners SCI";"64445992460394";"644459924";"FR34644459924";"149 Rue des Écoles";"80000";"Amiens";"France";"+33 1 67 83 93 34";"contact@laurent.fr";"https://www.laurent.fr";"Agroalimentaire";"30289791.12";"2022-06-28";"True"
"Durand Technologies SASU";"97076898255015";"970768982";"FR07970768982";"22 Boulevard Gambetta";"17000";"La Rochelle";"France";"+33 2 15 41 66 66";"contact@durand.fr";"https://www.durand.fr";"Tourisme";"26185126.96";"2007-02-13";"True"
"Muller Group SASU";"93157523254350";"931575232";"FR23931575232";"14 Avenue de Verdun";"86000";"Poitiers";"France";"+33 3 18 52 22 81";"contact@muller.fr";"https://www.muller.fr";"Luxe";"14278934.0";"2006-09-29";"True"
"Rey Conseil EURL";"47561721150662";"475617211";"FR75475617211";"101 Rue de Rivoli";"93200";"Saint-Denis";"France";"+33 5 20 49 81 58";"contact@rey.fr";"https://www.rey.fr";"Agroalimentaire";"40677920.71";"2023-08-12";"True"
"Hubert Consulting SASU";"48850996212389";"488509962";"FR63488509962";"80 Boulevard Saint-Germain";"30000";"Nîmes";"France";"+33 2 53 72 34 38";"contact@hubert.fr";"https://www.hubert.fr";"Industrie";"7831764.13";"2013-04-08";"True"
"Lefebvre Consulting SCI";"99670308279013";"996703082";"FR62996703082";"87 Rue Jean Moulin";"75015";"Paris";"France";"+33 5 26 86 58 29";"contact@lefebvre.fr";"https://www.lefebvre.fr";"Énergie";"9124213.76";"2007-06-05";"True"
"Richard Services SASU";"82623915341133";"826239153";"FR35826239153";"73 Rue Victor Hugo";"37000";"Tours";"France";"+33 4 39 78 40 49";"contact@richard.fr";"https://www.richard.fr";"Éducation";"45208319.47";"2008-09-13";"True"
"Charpentier Digital SASU";"92617835546932";"926178355";"FR50926178355";"98 Boulevard Gambetta";"64100";"Bayonne";"France";"+33 5 63 30 35 87";"contact@charpentier.fr";"https://www.charpentier.fr";"Industrie";"43662795.81";"2002-05-04";"True"
"Fontaine Technologies SCI";"86386098277621";"863860982";"FR08863860982";"73 Boulevard Haussmann";"69003";"Lyon";"France";"+33 2 44 67 75 28";"contact@fontaine.fr";"https://www.fontaine.fr";"Conseil";"4676507.13";"2009-12-16";"True"
"Gauthier Group SAS";"15718415161964";"157184151";"FR60157184151";"96 Rue de la République";"66000";"Perpignan";"France";"+33 4 20 57 38 13";"contact@gauthier.fr";"https://www.gauthier.fr";"Agroalimentaire";"46548212.65";"2015-01-15";"True"
"Roux Solutions SAS";"99094971971925";"990949719";"FR56990949719";"36 Rue Victor Hugo";"78000";"Versailles";"France";"+33 4 67 88 10 20";"contact@roux.fr";"https://www.roux.fr";"Technologie";"12870604.03";"2006-09-15";"True"
"Noel Consulting SCI";"55446634024573";"554466340";"FR61554466340";"74 Rue de la République";"64100";"Bayonne";"France";"+33 3 25 16 40 63";"contact@noel.fr";"https://www.noel.fr";"BTP";"3234076.84";"2022-06-03";"True"
"Dubois Consulting EURL";"71745251141711";"717452511";"FR04717452511";"37 Rue Lafayette";"17000";"La Rochelle";"France";"+33 4 10 88 55 40";"contact@dubois.fr";"https://www.dubois.fr";"Conseil";"9446964.2";"2003-11-03";"True"
"Lopez Consulting SAS";"68420355776496";"684203557";"FR85684203557";"142 Rue de la Paix";"66000";"Perpignan";"France";"+33 4 70 15 91 59";"contact@lopez.fr";"https://www.lopez.fr";"Automobile";"12757148.03";"2000-09-23";"True"
"Leroy Industries SA";"88698942696127";"886989426";"FR76886989426";"27 Rue Victor Hugo";"93100";"Montreuil";"France";"+33 5 52 27 15 55";"contact@leroy.fr";"https://www.leroy.fr";"Médias";"16993508.18";"2007-11-08";"True"
